Nome completo,Continente,País,Década principal de impacto,Ano de nascimento,Período de atividade documentado,Principal impacto (resumo),Setor de atuação (categoria),Instituição/Organização de vínculo,Local de nascimento/residência,Principais obras/contribuições (máx. 3 linhas),Links de comprovação (1 por linha),Qualidade da evidência (Alto/Médio/Baixo)
Mary K. Vernon,América do Norte,United States,1950s,1953,,American computer scientist (born 1953),computer scientist,,,,https://en.wikipedia.org/wiki/Mary_K._Vernon,Médio
Ellen Voorhees,América do Norte,United States,1950s,1958,,American computer scientist,computer scientist,,Bensalem Township,,https://en.wikipedia.org/wiki/Ellen_Voorhees,Médio
Hanna Wallach,América do Norte,,1970s,1979,,Computational social scientist,researcher,,,,https://en.wikipedia.org/wiki/Hanna_Wallach,Médio
Laura Waller,América do Norte,United States,1970s,1979,,Canadian computer scientist,computer scientist,,Kingston,,https://en.wikipedia.org/wiki/Laura_Waller,Médio
Tandy Warnow,América do Norte,United States,1950s,1955,,American computer scientist,computer scientist; mathematician; university teacher,,,,https://en.wikipedia.org/wiki/Tandy_Warnow,Médio
Vera Watson,América do Norte,United States,1930s,1932,,Computer programmer and mountaineer,mountaineer,,,,https://en.wikipedia.org/wiki/Vera_Watson,Médio
Carola Wenk,América do Norte,Germany,1970s,1973,,German-American computer scientist,computer scientist; university teacher,,Berlin,,https://en.wikipedia.org/wiki/Carola_Wenk,Médio
Gladys West,América do Norte,United States,1930s,1930,,American mathematician (born 1930),mathematician; surveyor,,Sutherland,,https://en.wikipedia.org/wiki/Gladys_West,Médio
Elaine Weyuker,América do Norte,United States,1940s,1945,,American computer scientist,computer scientist; engineer,,,,https://en.wikipedia.org/wiki/Elaine_Weyuker,Médio
Telle Whitney,América do Norte,United States,1960s,1965,,American computer scientist,computer scientist,,Salt Lake City,,https://en.wikipedia.org/wiki/Telle_Whitney,Médio
Jennifer Widom,América do Norte,United States,1960s,1960,,American computer scientist,academic; computer scientist; electrical engineer; university teacher,,,,https://en.wikipedia.org/wiki/Jennifer_Widom,Médio
Janyce Wiebe,América do Norte,United States,1950s,1959,,American computational linguist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Janyce_Wiebe,Médio
Gail Williams,América do Norte,United States,1950s,1953,,American computer scientist,computer scientist; engineer; journalist; stage actor,,Berkeley,,https://en.wikipedia.org/wiki/Gail_Williams,Médio
Marsha Rhea Williams,América do Norte,United States,1940s,1948,,African American educator and researcher,computer scientist,,Memphis,,https://en.wikipedia.org/wiki/Marsha_Rhea_Williams,Médio
Edith Windsor,América do Norte,United States,1920s,1929,,American LGBTQ rights activist and technology manager (1929–2017),activist; computer scientist; programmer,,Philadelphia,,https://en.wikipedia.org/wiki/Edith_Windsor,Médio
Jeannette Wing,América do Norte,United States,1950s,1956,,American computer scientist (born 1956),computer scientist; engineer; university teacher,,Newark,,https://en.wikipedia.org/wiki/Jeannette_Wing,Médio
Christina Wodtke,América do Norte,,1960s,1966,,American product designer (born 1966),businessperson,,,,https://en.wikipedia.org/wiki/Christina_Wodtke,Médio
Catherine G. Wolf,América do Norte,United States,1940s,1947,,American psychologist and computer scientist,artificial intelligence researcher; computer scientist; psychologist,,"Washington, D.C.",,https://en.wikipedia.org/wiki/Catherine_G._Wolf,Médio
Margaret H. Wright,América do Norte,United States,1940s,1944,,American computer scientist and applied mathematician (b. 1944),academic; computer scientist; mathematician,,Hanford,,https://en.wikipedia.org/wiki/Margaret_H._Wright,Médio
Rebecca N. Wright,América do Norte,,1960s,1967,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Rebecca_N._Wright,Médio
Cathy H. Wu,América do Norte,,1950s,1952,,American computer scientist,biologist; computer scientist; pathologist; university teacher,,,,https://en.wikipedia.org/wiki/Cathy_H._Wu,Médio
Irma Wyman,América do Norte,United States,1920s,1928,,American computer scientist (1928–2015),computer scientist,,Detroit,,https://en.wikipedia.org/wiki/Irma_Wyman,Médio
Lana Yarosh,América do Norte,,1980s,1980,,Professor,university teacher,,,,https://en.wikipedia.org/wiki/Lana_Yarosh,Médio
JoAnne Yates,América do Norte,United States,1950s,1951,,American business theorist,computer scientist; economist; historian; university teacher,,,,https://en.wikipedia.org/wiki/JoAnne_Yates,Médio
Corrinne Yu,América do Norte,United States,1960s,1964,,American game programmer,computer scientist; engineer; game programmer,,British Hong Kong,,https://en.wikipedia.org/wiki/Corrinne_Yu,Médio
Pamela Zave,América do Norte,United States,1940s,1948,,American computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Pamela_Zave,Médio
Maria Zemankova,América do Norte,Czechoslovakia,1950s,1951,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Maria_Zemankova,Médio
Lixia Zhang,América do Norte,United States,1950s,1951,,Professor of computer science,computer scientist,,Shanxi,,https://en.wikipedia.org/wiki/Lixia_Zhang,Médio
Xia Zhou,América do Norte,,1980s,1984,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Xia_Zhou,Médio
Jill Zimmerman,América do Norte,,1950s,1959,,Computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Jill_Zimmerman,Médio
Lenore Zuck,América do Norte,,1950s,1958,,Israeli-American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Lenore_Zuck,Médio
Sonia Aïssa,América do Norte,Canada,1950s,1950,,Canadian electrical engineer and computer scientist,electrical engineer; university teacher,,,,https://en.wikipedia.org/wiki/Sonia_Aïssa,Médio
Stella Atkins,América do Norte,United States,1940s,1946,,Canadian computer scientist,computer scientist; engineer,,,,https://en.wikipedia.org/wiki/Stella_Atkins,Médio
Margaret Benston,América do Norte,Canada,1930s,1937,,Canadian scientist and feminist,chemist; computer scientist,,,,https://en.wikipedia.org/wiki/Margaret_Benston,Médio
Dorothea Blostein,América do Norte,Canada,1950s,1953,,Canadian computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Dorothea_Blostein,Médio
Veronica Dahl,América do Norte,Argentina,1950s,1951,,Canadian computer scientist,computer scientist; engineer,,Buenos Aires,,https://en.wikipedia.org/wiki/Veronica_Dahl,Médio
Kerstin Dautenhahn,América do Norte,,1960s,1964,,German computer scientist,biologist; computer scientist; researcher; university teacher,,,,https://en.wikipedia.org/wiki/Kerstin_Dautenhahn,Médio
Paola Flocchini,América do Norte,,1960s,1967,,Canadian computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Paola_Flocchini,Médio
Charlotte Froese Fischer,América do Norte,United States,1920s,1929,,Canadian-American applied mathematician and computer scientist,chemist; computer scientist; mathematician; physicist,,Stara Mykolaivka,,https://en.wikipedia.org/wiki/Charlotte_Froese_Fischer,Médio
Irene Gargantini,América do Norte,,1930s,1934,,Italian-Canadian computer scientist,computer scientist,,Milan,,https://en.wikipedia.org/wiki/Irene_Gargantini,Médio
Marina Gavrilova,América do Norte,,1970s,1971,,Russian-Canadian computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Marina_Gavrilova,Médio
Diane Gromala,América do Norte,Canada,1960s,1960,,Computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Diane_Gromala,Médio
Laurie Hendren,América do Norte,Canada,1950s,1958,,Canadian computer scientist (1958–2019),computer scientist; researcher; university teacher,,Peterborough,,https://en.wikipedia.org/wiki/Laurie_Hendren,Médio
Wendy Mackay,América do Norte,United States,1950s,1956,,Computer Scientist,computer scientist,,Montreal,,https://en.wikipedia.org/wiki/Wendy_Mackay,Médio
Sheila McIlraith,América do Norte,,1960s,1960,,Professor of Computer Science,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Sheila_McIlraith,Médio
Tamara Munzner,América do Norte,United States,1960s,1960,,American computer scientist,computer scientist; researcher; teacher; university teacher,,Minneapolis,,https://en.wikipedia.org/wiki/Tamara_Munzner,Médio
Wendy Myrvold,América do Norte,Canada,1900s,1901,,Canadian mathematician and computer scientist,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Wendy_Myrvold,Médio
Lata Narayanan,América do Norte,,1960s,1966,,Indian-Canadian computer scientist,computer scientist,,Chennai,,https://en.wikipedia.org/wiki/Lata_Narayanan,Médio
Brigitte Pientka,América do Norte,,1970s,1971,,German-Canadian computer scientist,computer scientist,,Coburg,,https://en.wikipedia.org/wiki/Brigitte_Pientka,Médio
Joëlle Pineau,América do Norte,Canada,1970s,1974,,Canadian computer scientist (born 1974),artificial intelligence researcher; university teacher,,Ottawa,,https://en.wikipedia.org/wiki/Joëlle_Pineau,Médio
Toniann Pitassi,América do Norte,Canada,1960s,1962,,Canadian-American computer scientist,computer scientist; mathematician,,Pittsburgh,,https://en.wikipedia.org/wiki/Toniann_Pitassi,Médio
Doina Precup,América do Norte,Romania,1970s,1971,,Romanian researcher of artificial intelligence,artificial intelligence researcher; university teacher,,Cluj-Napoca,,https://en.wikipedia.org/wiki/Doina_Precup,Médio
Renate Scheidler,América do Norte,West Germany,1960s,1960,,German and Canadian computational number theorist,number theorist; university teacher,,,,https://en.wikipedia.org/wiki/Renate_Scheidler,Médio
Nadia Magnenat Thalmann,América do Norte,Canada,1940s,1946,,Computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Nadia_Magnenat_Thalmann,Médio
Pauline van den Driessche,América do Norte,Canada,1940s,1941,,British and Canadian applied mathematician,computer scientist; mathematician; university teacher,,,,https://en.wikipedia.org/wiki/Pauline_van_den_Driessche,Médio
Sue Whitesides,América do Norte,Canada,1950s,1953,,Canadian mathematician and computer scientist,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Sue_Whitesides,Médio
Beatrice Worsley,América do Norte,Canada,1920s,1921,,First female computer scientist in Canada,computer scientist,,Querétaro,,https://en.wikipedia.org/wiki/Beatrice_Worsley,Médio
Fanya Montalvo,América do Norte,,1940s,1947,,"Fanya S. Montalvo (born in Monterey, Mexico) is a Mexican computer scientist....",computer scientist,,,,https://en.wikipedia.org/wiki/Fanya_Montalvo,Médio
Yasmín Ríos-Solís,América do Norte,,1970s,1978,,Mexican operations researcher,researcher,,,,https://en.wikipedia.org/wiki/Yasmín_Ríos-Solís,Médio
M. Angélica Salazar Aguilar,América do Norte,,1980s,1981,,Mexican operations researcher,operations researcher,,,,https://en.wikipedia.org/wiki/M._Angélica_Salazar_Aguilar,Médio
Paola Villarreal,América do Norte,Mexico,1980s,1984,,Mexican computer programmer,computer scientist; programmer,,Mexico City,,https://en.wikipedia.org/wiki/Paola_Villarreal,Médio
Jussara M. Almeida,América Latina e Caribe,,1970s,1973,,Brazilian computer scientist,researcher,,,,https://en.wikipedia.org/wiki/Jussara_M._Almeida,Médio
Dilma Da Silva,América Latina e Caribe,Brazil,1960s,1965,,Brazilian-American systems software researcher,computer scientist,,São Paulo,,https://en.wikipedia.org/wiki/Dilma_Da_Silva,Médio
Valeria de Paiva,América Latina e Caribe,Brazil,1950s,1959,,"Brazilian mathematician, logician, and computer scientist",computer scientist; logician; mathematician,,Pouso Alegre,,https://en.wikipedia.org/wiki/Valeria_de_Paiva,Médio
Carolina Marcelino,América Latina e Caribe,,1980s,1984,,Brazilian computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Carolina_Marcelino,Médio
Yoshiko Wakabayashi,América Latina e Caribe,Brazil,1950s,1950,,Brazilian computer scientist and applied mathematician,university teacher,,,,https://en.wikipedia.org/wiki/Yoshiko_Wakabayashi,Médio
Cecilia Berdichevsky,América Latina e Caribe,Argentina,1920s,1926,,Argentine computer scientist (1925–2010),computer scientist; mathematician,,Vilnius,,https://en.wikipedia.org/wiki/Cecilia_Berdichevsky,Médio
Marina Umaschi Bers,América Latina e Caribe,,1950s,1950,,American child educator and computer scientist,computer science educator,,,,https://en.wikipedia.org/wiki/Marina_Umaschi_Bers,Médio
Rebeca Guber,América Latina e Caribe,Argentina,1920s,1926,,Argentine mathematician (1926–2020),computer scientist; mathematician,,Avellaneda,,https://en.wikipedia.org/wiki/Rebeca_Guber,Médio
Magdalena Mouján,América Latina e Caribe,Argentina,1920s,1926,,Mathematician and author,computer scientist; mathematician; science fiction writer,,Pehuajó,,https://en.wikipedia.org/wiki/Magdalena_Mouján,Médio
Ida Holz,América Latina e Caribe,Uruguay,1930s,1935,,Uruguayan engineer and researcher,computer scientist; engineer; researcher; teacher,,Montevideo,,https://en.wikipedia.org/wiki/Ida_Holz,Médio
Anuradha Annaswamy,Ásia,,1950s,1956,,American computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Anuradha_Annaswamy,Médio
Vijay Atluri,Ásia,India,1950s,1956,,Indian computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Vijay_Atluri,Médio
Kavita Bala,Ásia,,1970s,1971,,Indian computer scientist and academic,researcher,,,,https://en.wikipedia.org/wiki/Kavita_Bala,Médio
Nikisha Jariwala,Ásia,India,1980s,1985,,Indian computer scientist,computer scientist; professor,,Surat,,https://en.wikipedia.org/wiki/Nikisha_Jariwala,Médio
Kamala Krithivasan,Ásia,India,1940s,1948,,Indian computer scientist,computer scientist; information scientist; mathematician; university teacher,,,,https://en.wikipedia.org/wiki/Kamala_Krithivasan,Médio
Sushmita Mitra,Ásia,India,1960s,1962,,Indian computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Sushmita_Mitra,Médio
Sanghamitra Mohanty,Ásia,India,1950s,1953,,Indian computer scientist (1953–2021),computer scientist; university teacher,,Cuttack,,https://en.wikipedia.org/wiki/Sanghamitra_Mohanty,Médio
Lata Narayanan,Ásia,,1960s,1966,,Indian-Canadian computer scientist,computer scientist,,Chennai,,https://en.wikipedia.org/wiki/Lata_Narayanan,Médio
Dipanwita Roy Chowdhury,Ásia,India,1960s,1963,,Indian computer scientist,author; mathematician,,,,https://en.wikipedia.org/wiki/Dipanwita_Roy_Chowdhury,Médio
Ruchi Sanghvi,Ásia,United States,1980s,1982,,Indian computer engineer,computer scientist; engineer,,Pune,,https://en.wikipedia.org/wiki/Ruchi_Sanghvi,Médio
Priti Shankar,Ásia,India,1940s,1947,,Indian professor and researcher,computer scientist; professor; researcher,,,,https://en.wikipedia.org/wiki/Priti_Shankar,Médio
Kavitha Telikepalli,Ásia,India,1970s,1974,,Indian computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Kavitha_Telikepalli,Médio
Feng Chu,Ásia,People's Republic of China,1960s,1965,,Chinese-French operations researcher,researcher,,,,https://en.wikipedia.org/wiki/Feng_Chu,Médio
Xin Luna Dong,Ásia,,1970s,1975,,Chinese-American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Xin_Luna_Dong,Médio
Pascale Fung,Ásia,,1960s,1966,,Professor,computer scientist; researcher,,Shanghai,,https://en.wikipedia.org/wiki/Pascale_Fung,Médio
Jennifer Hou,Ásia,,1960s,1964,,Taiwanese computer scientist and electrical engineer,computer scientist; electrical engineer; engineer,,,,https://en.wikipedia.org/wiki/Jennifer_Hou,Médio
Hu Qiheng,Ásia,People's Republic of China,1930s,1934,,Internet pioneer,computer scientist; university teacher,,Beijing,,https://en.wikipedia.org/wiki/Hu_Qiheng,Médio
Zhi Jin,Ásia,People's Republic of China,1960s,1962,,Chinese computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Zhi_Jin,Médio
Jane Liu,Ásia,Taiwan,1930s,1935,,Chinese-American computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Jane_Liu,Médio
Ling Liu (computer scientist),Ásia,,1960s,1960,,Chinese-American computer scientist,computer scientist; opinion journalist; programmer; university teacher,,,,https://en.wikipedia.org/wiki/Ling_Liu_(computer_scientist),Médio
Shixia Liu,Ásia,People's Republic of China,1970s,1974,,Chinese computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Shixia_Liu,Médio
Pearl Pu,Ásia,Switzerland,1960s,1961,,Swiss computer scientist,artificial intelligence researcher; computer scientist,,Shanghai,,https://en.wikipedia.org/wiki/Pearl_Pu,Médio
Hairong Qi,Ásia,People's Republic of China,1970s,1970,,Chinese computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Hairong_Qi,Médio
Xiaoyuan Tu,Ásia,People's Republic of China,1960s,1967,,Chinese computer scientist,computer scientist; engineer; programmer,,,,https://en.wikipedia.org/wiki/Xiaoyuan_Tu,Médio
Wang Xiaoyun,Ásia,People's Republic of China,1960s,1966,,Chinese computer scientist,computer scientist; cryptographer,,Zhucheng,,https://en.wikipedia.org/wiki/Wang_Xiaoyun,Médio
Xia Peisu,Ásia,People's Republic of China,1920s,1923,,Chinese computer scientist,computer scientist; engineer; university teacher,,Chongqing,,https://en.wikipedia.org/wiki/Xia_Peisu,Médio
Frances Yao,Ásia,United States,1950s,1950,,Chinese-American mathematician,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Frances_Yao,Médio
Lixia Zhang,Ásia,United States,1950s,1951,,Professor of computer science,computer scientist,,Shanxi,,https://en.wikipedia.org/wiki/Lixia_Zhang,Médio
Xia Zhou,Ásia,,1980s,1984,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Xia_Zhou,Médio
Yuanyuan Zhou,Ásia,United States,1970s,1971,,Chinese and American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Yuanyuan_Zhou,Médio
Noriko H. Arai,Ásia,Japan,1960s,1962,,Japanese mathematician,artificial intelligence researcher; computer scientist; mathematician,,Kodaira,,https://en.wikipedia.org/wiki/Noriko_H._Arai,Médio
Chieko Asakawa,Ásia,Japan,1950s,1958,,Japanese computer scientist,computer scientist; engineer; programmer; researcher,,Toyonaka,,https://en.wikipedia.org/wiki/Chieko_Asakawa,Médio
Emma Haruka Iwao,Ásia,Japan,1980s,1984,,Japanese computer scientist (born 1984),computer scientist,,Kaizuka,,https://en.wikipedia.org/wiki/Emma_Haruka_Iwao,Médio
Atsuko Miyaji,Ásia,Japan,1960s,1965,,Japanese cryptographer,computer scientist; engineer; mathematician,,Osaka Prefecture,,https://en.wikipedia.org/wiki/Atsuko_Miyaji,Médio
Cha Meeyoung,Ásia,South Korea,1970s,1979,,South Korean data scientist (born 1979),data scientist,,,,https://en.wikipedia.org/wiki/Cha_Meeyoung,Médio
Su-In Lee,Ásia,,1970s,1979,,South Korean and American computer scientist (born 1979),academic; computer scientist,,,,https://en.wikipedia.org/wiki/Su-In_Lee,Médio
Dorit Aharonov,Ásia,Israel,1970s,1970,,Israeli computer scientist,computer scientist; engineer; physicist; university teacher,,"Washington, D.C.",,https://en.wikipedia.org/wiki/Dorit_Aharonov,Médio
Esther Arkin,Ásia,Israel,1950s,1958,,Israeli–American mathematician,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Esther_Arkin,Médio
Hagit Attiya,Ásia,Israel,1960s,1962,,Israeli computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Hagit_Attiya,Médio
Judit Bar-Ilan,Ásia,Israel,1950s,1958,,Israeli computer scientist (1958–2019),information scientist; mathematician,,,,https://en.wikipedia.org/wiki/Judit_Bar-Ilan,Médio
Regina Barzilay,Ásia,Israel,1970s,1970,,Israeli-American computer scientist,computer scientist; professor; researcher,,Chișinău,,https://en.wikipedia.org/wiki/Regina_Barzilay,Médio
Orna Berry,Ásia,Israel,1940s,1949,,"Israeli scientist, high-tech entrepreneur, and businesswoman",computer scientist,,Jerusalem,,https://en.wikipedia.org/wiki/Orna_Berry,Médio
Anat Bremler-Barr,Ásia,Israel,1970s,1972,,Israeli computer scientist (born 1972),computer scientist; professor,,,,https://en.wikipedia.org/wiki/Anat_Bremler-Barr,Médio
Julia Chuzhoy,Ásia,Israel,1950s,1950,,Israeli mathematician and computer scientist,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Julia_Chuzhoy,Médio
Edith Cohen,Ásia,,1960s,1966,,Computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Edith_Cohen,Médio
Dorit Dor,Ásia,Israel,1960s,1967,,Israeli executive (born 1967),computer scientist; manager,,Haifa,,https://en.wikipedia.org/wiki/Dorit_Dor,Médio
Michal Feldman,Ásia,Israel,1970s,1976,,Israeli computer scientist (born 1976),lecturer; researcher,,Petah Tikva,,https://en.wikipedia.org/wiki/Michal_Feldman,Médio
Judith Gal-Ezer,Ásia,Israel,1940s,1947,,Israeli computer science professor,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Judith_Gal-Ezer,Médio
Shafi Goldwasser,Ásia,United States,1950s,1958,,Israeli American computer scientist (born 1959),computer scientist; cryptographer; engineer; mathematician; university teacher,,New York City,,https://en.wikipedia.org/wiki/Shafi_Goldwasser,Médio
Polina Golland,Ásia,,1970s,1971,,Researcher in biomedical image analysis Israeli-American,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Polina_Golland,Médio
Orna Grumberg,Ásia,Israel,1950s,1952,,Israeli computer scientist,computer scientist,,Hadera,,https://en.wikipedia.org/wiki/Orna_Grumberg,Médio
Klara Kedem,Ásia,Israel,1940s,1948,,Israeli computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Klara_Kedem,Médio
Sarit Kraus,Ásia,Israel,1960s,1960,,Israeli computer scientist,artificial intelligence researcher; computer scientist; university teacher,,Jerusalem,,https://en.wikipedia.org/wiki/Sarit_Kraus,Médio
Yoelle Maarek,Ásia,Israel,1960s,1962,,Israeli computer scientist,computer scientist; researcher,,Tunis,,https://en.wikipedia.org/wiki/Yoelle_Maarek,Médio
Tal Malkin,Ásia,,1970s,1970,,Israeli-American cryptographer,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Tal_Malkin,Médio
Tova Milo,Ásia,Israel,1960s,1964,,Israeli computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Tova_Milo,Médio
Michal Parnas,Ásia,Israel,1960s,1964,,Israeli theoretical computer scientist,computer scientist,,United States,,https://en.wikipedia.org/wiki/Michal_Parnas,Médio
Dana Pe'er,Ásia,,1970s,1971,,Israeli bioinformatician,computational biologist; researcher,,,,https://en.wikipedia.org/wiki/Dana_Pe'er,Médio
Tal Rabin,Ásia,Israel,1960s,1962,,American cryptographer,computer scientist,,Newton,,https://en.wikipedia.org/wiki/Tal_Rabin,Médio
Kira Radinsky,Ásia,Israel,1980s,1986,,Israeli computer scientist and entrepreneur,computer scientist,,Kyiv,,https://en.wikipedia.org/wiki/Kira_Radinsky,Médio
Dana Ron,Ásia,Israel,1960s,1964,,"Dana Ron Goldreich (Hebrew: דנה רון גולדרייך; born 1964) is a computer scientist, a professor of electrical engineering at the Tel Aviv University, Israel. Prof. Ron is one of the ...",computer scientist; professor; researcher,,,,https://en.wikipedia.org/wiki/Dana_Ron,Médio
Hadas Shachnai,Ásia,Israel,1960s,1963,,Israeli computer scientist,computer scientist; university teacher,,Haifa,,https://en.wikipedia.org/wiki/Hadas_Shachnai,Médio
Aya Soffer,Ásia,Israel,1960s,1961,,Israeli computer scientist,,,,,https://en.wikipedia.org/wiki/Aya_Soffer,Médio
Ayellet Tal,Ásia,,1960s,1962,,Israeli researcher in computational geometry and computer graphics,computer scientist,,,,https://en.wikipedia.org/wiki/Ayellet_Tal,Médio
Tami Tamir,Ásia,Israel,1960s,1968,,Israeli computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Tami_Tamir,Médio
Lenore Zuck,Ásia,,1950s,1958,,Israeli-American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Lenore_Zuck,Médio
Tülay Adalı,Ásia,Turkey,1960s,1965,,Professor of Computer Science and Electrical Engineering,computer scientist; researcher; university teacher,,,,https://en.wikipedia.org/wiki/Tülay_Adalı,Médio
Lale Akarun,Ásia,Turkey,1960s,1962,,Turkish electrical engineer and computer scientist,computer scientist; electrical engineer; professor,,Ankara,,https://en.wikipedia.org/wiki/Lale_Akarun,Médio
Ilkay Altintas,Ásia,Turkey,1970s,1977,,Turkish-American data and computer scientist (born 1977),computer scientist; data scientist,,Aydın,,https://en.wikipedia.org/wiki/Ilkay_Altintas,Médio
Pinar Heggernes,Ásia,Turkey,1960s,1969,,Turkish-born Norwegian computer scientist,computer scientist,,Istanbul,,https://en.wikipedia.org/wiki/Pinar_Heggernes,Médio
Arfa Karim,Ásia,Pakistan,1990s,1995,,Pakistani computer prodigy (1995–2012),computer scientist,,Ram Diwali,,https://en.wikipedia.org/wiki/Arfa_Karim,Médio
Tanzeem Choudhury,Ásia,Bangladesh,1970s,1975,,Professor in Integrated Health and Technology,researcher,,Bangladesh,,https://en.wikipedia.org/wiki/Tanzeem_Choudhury,Médio
Elizabeth Chang,Oceania,,1950s,1950,,Australian electrical engineer,computer scientist; researcher,,,,https://en.wikipedia.org/wiki/Elizabeth_Chang,Médio
Annabelle McIver,Oceania,,1960s,1964,,Computer security researcher,computer scientist; information scientist; mathematician; university teacher,,,,https://en.wikipedia.org/wiki/Annabelle_McIver,Médio
Veronika Megler,Oceania,Australia,1960s,1960,,Australian computer scientist,computer scientist; data scientist; video game developer,,Melbourne,,https://en.wikipedia.org/wiki/Veronika_Megler,Médio
Mirka Miller,Oceania,,1940s,1949,,Czech-Australian mathematician and computer scientist,computer scientist; mathematician; university teacher,,Rumburk,,https://en.wikipedia.org/wiki/Mirka_Miller,Médio
Ann Nicholson,Oceania,United Kingdom,1960s,1965,,Australian Computer Scientist,computer scientist,,London,,https://en.wikipedia.org/wiki/Ann_Nicholson,Médio
George Oates,Oceania,Australia,1970s,1973,,Australian designer and entrepreneur,designer,,Adelaide,,https://en.wikipedia.org/wiki/George_Oates,Médio
Frances A. Rosamond,Oceania,Australia,1940s,1943,,Australian computer scientist,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Frances_A._Rosamond,Médio
